projectname,project_match_score,project_match_reason,sco,excel_row_number,versionnumber,with_party,started_on,ended_on,total_calendar_days,total_business_days,source_start_event,source_end_event,needs_lori_to_confirm,raw_status_text
Mainframe Processor Upgrade,88,token overlap 1/3; hint matched: mainframe,SCO-PROV-726 Mainframe Non-Standard SW 2025-2026,104,V1,ADSL,2025-03-27,2025-03-28,2,2,Mar 27/25 - with Tyler,Mar 28/25 - V1 sent to Province,"Lori: please confirm this project/SCO mapping. This is an educated guess: ""Mainframe Processor Upgrade"" -> ""SCO-PROV-726 Mainframe Non-Standard SW 2025-2026"" (token overlap 1/3; hint matched: mainframe, score 88).","Apr 7/25 - Completed
Apr 4/25 - Final sent for signature
Apr 2/25 - V3 sent to Province
Apr 1/25 - V2 rec'd
Mar 28/25 - V1 sent to Province
Mar 27/25 - with Tyler
LRS to be removed from Schedule 43"
Mainframe Processor Upgrade,88,token overlap 1/3; hint matched: mainframe,SCO-PROV-726 Mainframe Non-Standard SW 2025-2026,104,V2,CSBC,2025-03-29,2025-04-01,4,2,Next day after: Mar 28/25 - V1 sent to Province,Apr 1/25 - V2 rec'd,"Lori: please confirm this project/SCO mapping. This is an educated guess: ""Mainframe Processor Upgrade"" -> ""SCO-PROV-726 Mainframe Non-Standard SW 2025-2026"" (token overlap 1/3; hint matched: mainframe, score 88).","Apr 7/25 - Completed
Apr 4/25 - Final sent for signature
Apr 2/25 - V3 sent to Province
Apr 1/25 - V2 rec'd
Mar 28/25 - V1 sent to Province
Mar 27/25 - with Tyler
LRS to be removed from Schedule 43"
Mainframe Processor Upgrade,88,token overlap 1/3; hint matched: mainframe,SCO-PROV-726 Mainframe Non-Standard SW 2025-2026,104,V3,ADSL,2025-04-02,2025-04-02,1,1,Next day after: Apr 1/25 - V2 rec'd,Apr 2/25 - V3 sent to Province,"Lori: please confirm this project/SCO mapping. This is an educated guess: ""Mainframe Processor Upgrade"" -> ""SCO-PROV-726 Mainframe Non-Standard SW 2025-2026"" (token overlap 1/3; hint matched: mainframe, score 88).","Apr 7/25 - Completed
Apr 4/25 - Final sent for signature
Apr 2/25 - V3 sent to Province
Apr 1/25 - V2 rec'd
Mar 28/25 - V1 sent to Province
Mar 27/25 - with Tyler
LRS to be removed from Schedule 43"
Mainframe Processor Upgrade,88,token overlap 1/3; hint matched: mainframe,SCO-PROV-726 Mainframe Non-Standard SW 2025-2026,104,V3,SIGNINGTIME,2025-04-04,2025-04-07,4,2,Apr 4/25 - Final sent for signature,Apr 7/25 - Completed,"Lori: please confirm this project/SCO mapping. This is an educated guess: ""Mainframe Processor Upgrade"" -> ""SCO-PROV-726 Mainframe Non-Standard SW 2025-2026"" (token overlap 1/3; hint matched: mainframe, score 88).","Apr 7/25 - Completed
Apr 4/25 - Final sent for signature
Apr 2/25 - V3 sent to Province
Apr 1/25 - V2 rec'd
Mar 28/25 - V1 sent to Province
Mar 27/25 - with Tyler
LRS to be removed from Schedule 43"
Microsoft Azure Arc,74,hint matched: arc,CR-CAP-014 Client Managed Device HW(Hadoop),191,V1,ADSL,2025-01-17,2025-01-23,7,5,Jan 17/25 - with Josh/RM/Joyce,Jan 23/25 - V1 sent to Province,"Lori: please confirm this project/SCO mapping. This is an educated guess: ""Microsoft Azure Arc"" -> ""CR-CAP-014 Client Managed Device HW(Hadoop)"" (hint matched: arc, score 74).","Sept 10/25 - Province cancelled 
July 4/25 - on hold pending technical review.  Will move to Q3.
June 12/25 - Requires a new Options document to be presented to the client which should result in some significant changes to Hardware and cost.  Currently being worked on at a Technical level.
May 27/25 - Still working on a proposal for alternate design and hardware. Waiting for quotes.
Apr 30/25 - WIth Sam to submit PR - Sam informed an architecture review is underway and to hold off on signing or submitting the PR
Apr 29/25 -Province approval to move to final
Apr 22/25 - V3 sent to Province
Apr 16/25 - Province asked for refreshed quote, emailed Glasshouse
Apr 14/25 - Province confirmging with client
Mar 11/25 - Pending Tech Stew
Feb 25/25 - Tyler sent justification to the Province
Jan 29/25 - on hold pending Province Technical Review
Jan 28/25 - V3 with Sam and RM
Jan 27/25 - Province to confirm it has sufficient information to review before new quote is requested.
Jan 23/25 - V1 sent to Province
Jan 17/25 - with Josh/RM/Joyce"
Microsoft Azure Arc,74,hint matched: arc,CR-CAP-014 Client Managed Device HW(Hadoop),191,V2,CSBC,2025-01-24,2025-01-28,5,3,Next day after: Jan 23/25 - V1 sent to Province,Jan 28/25 - V3 with Sam and RM,"Lori: please confirm this project/SCO mapping. This is an educated guess: ""Microsoft Azure Arc"" -> ""CR-CAP-014 Client Managed Device HW(Hadoop)"" (hint matched: arc, score 74).","Sept 10/25 - Province cancelled 
July 4/25 - on hold pending technical review.  Will move to Q3.
June 12/25 - Requires a new Options document to be presented to the client which should result in some significant changes to Hardware and cost.  Currently being worked on at a Technical level.
May 27/25 - Still working on a proposal for alternate design and hardware. Waiting for quotes.
Apr 30/25 - WIth Sam to submit PR - Sam informed an architecture review is underway and to hold off on signing or submitting the PR
Apr 29/25 -Province approval to move to final
Apr 22/25 - V3 sent to Province
Apr 16/25 - Province asked for refreshed quote, emailed Glasshouse
Apr 14/25 - Province confirmging with client
Mar 11/25 - Pending Tech Stew
Feb 25/25 - Tyler sent justification to the Province
Jan 29/25 - on hold pending Province Technical Review
Jan 28/25 - V3 with Sam and RM
Jan 27/25 - Province to confirm it has sufficient information to review before new quote is requested.
Jan 23/25 - V1 sent to Province
Jan 17/25 - with Josh/RM/Joyce"
Microsoft Azure Arc,74,hint matched: arc,CR-CAP-014 Client Managed Device HW(Hadoop),191,V3,ADSL,2025-01-28,2025-04-22,85,61,Jan 28/25 - V3 with Sam and RM,Apr 22/25 - V3 sent to Province,"Lori: please confirm this project/SCO mapping. This is an educated guess: ""Microsoft Azure Arc"" -> ""CR-CAP-014 Client Managed Device HW(Hadoop)"" (hint matched: arc, score 74).","Sept 10/25 - Province cancelled 
July 4/25 - on hold pending technical review.  Will move to Q3.
June 12/25 - Requires a new Options document to be presented to the client which should result in some significant changes to Hardware and cost.  Currently being worked on at a Technical level.
May 27/25 - Still working on a proposal for alternate design and hardware. Waiting for quotes.
Apr 30/25 - WIth Sam to submit PR - Sam informed an architecture review is underway and to hold off on signing or submitting the PR
Apr 29/25 -Province approval to move to final
Apr 22/25 - V3 sent to Province
Apr 16/25 - Province asked for refreshed quote, emailed Glasshouse
Apr 14/25 - Province confirmging with client
Mar 11/25 - Pending Tech Stew
Feb 25/25 - Tyler sent justification to the Province
Jan 29/25 - on hold pending Province Technical Review
Jan 28/25 - V3 with Sam and RM
Jan 27/25 - Province to confirm it has sufficient information to review before new quote is requested.
Jan 23/25 - V1 sent to Province
Jan 17/25 - with Josh/RM/Joyce"
Microsoft Azure Arc,74,hint matched: arc,CR-CAP-014 Client Managed Device HW(Hadoop),191,V4,CSBC,2025-04-23,2025-04-30,8,6,Next day after: Apr 22/25 - V3 sent to Province,Apr 30/25 - WIth Sam to submit PR - Sam informed an architecture review is underway and to hold off on signing or submitting the PR,"Lori: inferred handoff to ADSL from internal ADSL work line; please confirm. Lori: please confirm this project/SCO mapping. This is an educated guess: ""Microsoft Azure Arc"" -> ""CR-CAP-014 Client Managed Device HW(Hadoop)"" (hint matched: arc, score 74).","Sept 10/25 - Province cancelled 
July 4/25 - on hold pending technical review.  Will move to Q3.
June 12/25 - Requires a new Options document to be presented to the client which should result in some significant changes to Hardware and cost.  Currently being worked on at a Technical level.
May 27/25 - Still working on a proposal for alternate design and hardware. Waiting for quotes.
Apr 30/25 - WIth Sam to submit PR - Sam informed an architecture review is underway and to hold off on signing or submitting the PR
Apr 29/25 -Province approval to move to final
Apr 22/25 - V3 sent to Province
Apr 16/25 - Province asked for refreshed quote, emailed Glasshouse
Apr 14/25 - Province confirmging with client
Mar 11/25 - Pending Tech Stew
Feb 25/25 - Tyler sent justification to the Province
Jan 29/25 - on hold pending Province Technical Review
Jan 28/25 - V3 with Sam and RM
Jan 27/25 - Province to confirm it has sufficient information to review before new quote is requested.
Jan 23/25 - V1 sent to Province
Jan 17/25 - with Josh/RM/Joyce"
Microsoft Azure Arc,74,hint matched: arc,CR-CAP-014 Client Managed Device HW(Hadoop),191,V4,SIGNINGTIME,2025-04-29,2025-04-29,1,1,Apr 29/25 -Province approval to move to final,Apr 29/25 -Province approval to move to final,"Lori: please confirm this project/SCO mapping. This is an educated guess: ""Microsoft Azure Arc"" -> ""CR-CAP-014 Client Managed Device HW(Hadoop)"" (hint matched: arc, score 74).","Sept 10/25 - Province cancelled 
July 4/25 - on hold pending technical review.  Will move to Q3.
June 12/25 - Requires a new Options document to be presented to the client which should result in some significant changes to Hardware and cost.  Currently being worked on at a Technical level.
May 27/25 - Still working on a proposal for alternate design and hardware. Waiting for quotes.
Apr 30/25 - WIth Sam to submit PR - Sam informed an architecture review is underway and to hold off on signing or submitting the PR
Apr 29/25 -Province approval to move to final
Apr 22/25 - V3 sent to Province
Apr 16/25 - Province asked for refreshed quote, emailed Glasshouse
Apr 14/25 - Province confirmging with client
Mar 11/25 - Pending Tech Stew
Feb 25/25 - Tyler sent justification to the Province
Jan 29/25 - on hold pending Province Technical Review
Jan 28/25 - V3 with Sam and RM
Jan 27/25 - Province to confirm it has sufficient information to review before new quote is requested.
Jan 23/25 - V1 sent to Province
Jan 17/25 - with Josh/RM/Joyce"
Microsoft Azure Arc,74,hint matched: arc,SCO-PROV-519 Svr Mtc Solaris 23-24 Q1 (was SCO-469),61,V1,ADSL,2023-05-23,2023-06-08,17,13,May 23/23 - With Lori for approval,June 8/23 - V2.1 back from the Province,"Lori: please confirm this project/SCO mapping. This is an educated guess: ""Microsoft Azure Arc"" -> ""SCO-PROV-519 Svr Mtc Solaris 23-24 Q1 (was SCO-469)"" (hint matched: arc, score 74).","Aug 3/23 - Completed
Aug 1/23 - Final with Province
Aug 1/23 - Final with Sian
Aug 1/23 - V5 sent to Province
July 31/23 - Question with Tyler, and also with the Province
July 27/23 - Response to Province, question still with Jon/Cathy
July 24/23 - Questions with Jon and Cathy
July 20/23 - V4 back from Province
June 21/23 - V3 sent to Province
June 20/23 - Asked question internally re cutoff dates
June 14/23 - Province mentioned that Oracle extended their date how will ADSL work this in and what would that look like? Would that go t oMarch 31 2024? or Jan 1 still? what would ADSL Recommend
June 12/23 - Questions with Michelle S. and Cathy
June 8/23 - V2.1 back from the Province
May 25/23 - V1 sent to the Province
May 25/23 - With Sian
May 23/23 - With Lori for approval"
Microsoft Azure Arc,74,hint matched: arc,SCO-PROV-519 Svr Mtc Solaris 23-24 Q1 (was SCO-469),61,V2.1,CSBC,2023-06-08,2023-06-12,5,3,June 8/23 - V2.1 back from the Province,June 12/23 - Questions with Michelle S. and Cathy,"Lori: inferred handoff to ADSL from internal ADSL work line; please confirm. Lori: please confirm this project/SCO mapping. This is an educated guess: ""Microsoft Azure Arc"" -> ""SCO-PROV-519 Svr Mtc Solaris 23-24 Q1 (was SCO-469)"" (hint matched: arc, score 74).","Aug 3/23 - Completed
Aug 1/23 - Final with Province
Aug 1/23 - Final with Sian
Aug 1/23 - V5 sent to Province
July 31/23 - Question with Tyler, and also with the Province
July 27/23 - Response to Province, question still with Jon/Cathy
July 24/23 - Questions with Jon and Cathy
July 20/23 - V4 back from Province
June 21/23 - V3 sent to Province
June 20/23 - Asked question internally re cutoff dates
June 14/23 - Province mentioned that Oracle extended their date how will ADSL work this in and what would that look like? Would that go t oMarch 31 2024? or Jan 1 still? what would ADSL Recommend
June 12/23 - Questions with Michelle S. and Cathy
June 8/23 - V2.1 back from the Province
May 25/23 - V1 sent to the Province
May 25/23 - With Sian
May 23/23 - With Lori for approval"
Microsoft Azure Arc,74,hint matched: arc,SCO-PROV-519 Svr Mtc Solaris 23-24 Q1 (was SCO-469),61,V3,ADSL,2023-06-12,2023-06-21,10,8,June 12/23 - Questions with Michelle S. and Cathy,June 21/23 - V3 sent to Province,"Lori: please confirm this project/SCO mapping. This is an educated guess: ""Microsoft Azure Arc"" -> ""SCO-PROV-519 Svr Mtc Solaris 23-24 Q1 (was SCO-469)"" (hint matched: arc, score 74).","Aug 3/23 - Completed
Aug 1/23 - Final with Province
Aug 1/23 - Final with Sian
Aug 1/23 - V5 sent to Province
July 31/23 - Question with Tyler, and also with the Province
July 27/23 - Response to Province, question still with Jon/Cathy
July 24/23 - Questions with Jon and Cathy
July 20/23 - V4 back from Province
June 21/23 - V3 sent to Province
June 20/23 - Asked question internally re cutoff dates
June 14/23 - Province mentioned that Oracle extended their date how will ADSL work this in and what would that look like? Would that go t oMarch 31 2024? or Jan 1 still? what would ADSL Recommend
June 12/23 - Questions with Michelle S. and Cathy
June 8/23 - V2.1 back from the Province
May 25/23 - V1 sent to the Province
May 25/23 - With Sian
May 23/23 - With Lori for approval"
Microsoft Azure Arc,74,hint matched: arc,SCO-PROV-519 Svr Mtc Solaris 23-24 Q1 (was SCO-469),61,V4,CSBC,2023-06-22,2023-07-20,29,21,Next day after: June 21/23 - V3 sent to Province,July 20/23 - V4 back from Province,"Lori: please confirm this project/SCO mapping. This is an educated guess: ""Microsoft Azure Arc"" -> ""SCO-PROV-519 Svr Mtc Solaris 23-24 Q1 (was SCO-469)"" (hint matched: arc, score 74).","Aug 3/23 - Completed
Aug 1/23 - Final with Province
Aug 1/23 - Final with Sian
Aug 1/23 - V5 sent to Province
July 31/23 - Question with Tyler, and also with the Province
July 27/23 - Response to Province, question still with Jon/Cathy
July 24/23 - Questions with Jon and Cathy
July 20/23 - V4 back from Province
June 21/23 - V3 sent to Province
June 20/23 - Asked question internally re cutoff dates
June 14/23 - Province mentioned that Oracle extended their date how will ADSL work this in and what would that look like? Would that go t oMarch 31 2024? or Jan 1 still? what would ADSL Recommend
June 12/23 - Questions with Michelle S. and Cathy
June 8/23 - V2.1 back from the Province
May 25/23 - V1 sent to the Province
May 25/23 - With Sian
May 23/23 - With Lori for approval"
Microsoft Azure Arc,74,hint matched: arc,SCO-PROV-519 Svr Mtc Solaris 23-24 Q1 (was SCO-469),61,V5,ADSL,2023-07-21,2023-08-01,12,8,Next day after: July 20/23 - V4 back from Province,Aug 1/23 - V5 sent to Province,"Lori: please confirm this project/SCO mapping. This is an educated guess: ""Microsoft Azure Arc"" -> ""SCO-PROV-519 Svr Mtc Solaris 23-24 Q1 (was SCO-469)"" (hint matched: arc, score 74).","Aug 3/23 - Completed
Aug 1/23 - Final with Province
Aug 1/23 - Final with Sian
Aug 1/23 - V5 sent to Province
July 31/23 - Question with Tyler, and also with the Province
July 27/23 - Response to Province, question still with Jon/Cathy
July 24/23 - Questions with Jon and Cathy
July 20/23 - V4 back from Province
June 21/23 - V3 sent to Province
June 20/23 - Asked question internally re cutoff dates
June 14/23 - Province mentioned that Oracle extended their date how will ADSL work this in and what would that look like? Would that go t oMarch 31 2024? or Jan 1 still? what would ADSL Recommend
June 12/23 - Questions with Michelle S. and Cathy
June 8/23 - V2.1 back from the Province
May 25/23 - V1 sent to the Province
May 25/23 - With Sian
May 23/23 - With Lori for approval"
Microsoft Azure Arc,74,hint matched: arc,SCO-PROV-519 Svr Mtc Solaris 23-24 Q1 (was SCO-469),61,V5,SIGNINGTIME,2023-08-03,2023-08-03,1,1,Aug 3/23 - Completed,Aug 3/23 - Completed,"Lori: please confirm this project/SCO mapping. This is an educated guess: ""Microsoft Azure Arc"" -> ""SCO-PROV-519 Svr Mtc Solaris 23-24 Q1 (was SCO-469)"" (hint matched: arc, score 74).","Aug 3/23 - Completed
Aug 1/23 - Final with Province
Aug 1/23 - Final with Sian
Aug 1/23 - V5 sent to Province
July 31/23 - Question with Tyler, and also with the Province
July 27/23 - Response to Province, question still with Jon/Cathy
July 24/23 - Questions with Jon and Cathy
July 20/23 - V4 back from Province
June 21/23 - V3 sent to Province
June 20/23 - Asked question internally re cutoff dates
June 14/23 - Province mentioned that Oracle extended their date how will ADSL work this in and what would that look like? Would that go t oMarch 31 2024? or Jan 1 still? what would ADSL Recommend
June 12/23 - Questions with Michelle S. and Cathy
June 8/23 - V2.1 back from the Province
May 25/23 - V1 sent to the Province
May 25/23 - With Sian
May 23/23 - With Lori for approval"
Microsoft Azure Arc,74,hint matched: arc,SCO-PROV-580 Amd Sch 23 S5.11 MPS Devices,88,V5,SIGNINGTIME,2023-01-10,2023-01-10,1,1,Jan 10/23 - Completed - COs sent to HP,Jan 10/23 - Completed - COs sent to HP,"Lori: please confirm this project/SCO mapping. This is an educated guess: ""Microsoft Azure Arc"" -> ""SCO-PROV-580 Amd Sch 23 S5.11 MPS Devices"" (hint matched: arc, score 74).","Jan 10/23 - Completed - COs sent to HP
Jan 9/24 - signing process
Jan 3/24 - V5 sent to Province
Dec 28/23 - V4.1 rec'd from Province; Sarka to confirm delivery before March 31
Dec 13/23 - V3 sent to Province
Dec 8/23 - V2 rec'd from Province
Dec 7/23 - V1 sent to Province
Dec 7/23 - With Sian
Dec 7/23 - With Tyler
Dec 7/23 - With Alison for review
Dec 7/23 - Drafting SCO"
Microsoft Azure Arc,74,hint matched: arc,SCO-PROV-580 Amd Sch 23 S5.11 MPS Devices,88,V1,ADSL,2023-12-07,2023-12-07,1,1,Dec 7/23 - With Tyler,Dec 7/23 - V1 sent to Province,"Lori: please confirm this project/SCO mapping. This is an educated guess: ""Microsoft Azure Arc"" -> ""SCO-PROV-580 Amd Sch 23 S5.11 MPS Devices"" (hint matched: arc, score 74).","Jan 10/23 - Completed - COs sent to HP
Jan 9/24 - signing process
Jan 3/24 - V5 sent to Province
Dec 28/23 - V4.1 rec'd from Province; Sarka to confirm delivery before March 31
Dec 13/23 - V3 sent to Province
Dec 8/23 - V2 rec'd from Province
Dec 7/23 - V1 sent to Province
Dec 7/23 - With Sian
Dec 7/23 - With Tyler
Dec 7/23 - With Alison for review
Dec 7/23 - Drafting SCO"
Microsoft Azure Arc,74,hint matched: arc,SCO-PROV-580 Amd Sch 23 S5.11 MPS Devices,88,V2,CSBC,2023-12-08,2023-12-08,1,1,Next day after: Dec 7/23 - V1 sent to Province,Dec 8/23 - V2 rec'd from Province,"Lori: please confirm this project/SCO mapping. This is an educated guess: ""Microsoft Azure Arc"" -> ""SCO-PROV-580 Amd Sch 23 S5.11 MPS Devices"" (hint matched: arc, score 74).","Jan 10/23 - Completed - COs sent to HP
Jan 9/24 - signing process
Jan 3/24 - V5 sent to Province
Dec 28/23 - V4.1 rec'd from Province; Sarka to confirm delivery before March 31
Dec 13/23 - V3 sent to Province
Dec 8/23 - V2 rec'd from Province
Dec 7/23 - V1 sent to Province
Dec 7/23 - With Sian
Dec 7/23 - With Tyler
Dec 7/23 - With Alison for review
Dec 7/23 - Drafting SCO"
Microsoft Azure Arc,74,hint matched: arc,SCO-PROV-580 Amd Sch 23 S5.11 MPS Devices,88,V3,ADSL,2023-12-09,2023-12-13,5,3,Next day after: Dec 8/23 - V2 rec'd from Province,Dec 13/23 - V3 sent to Province,"Lori: please confirm this project/SCO mapping. This is an educated guess: ""Microsoft Azure Arc"" -> ""SCO-PROV-580 Amd Sch 23 S5.11 MPS Devices"" (hint matched: arc, score 74).","Jan 10/23 - Completed - COs sent to HP
Jan 9/24 - signing process
Jan 3/24 - V5 sent to Province
Dec 28/23 - V4.1 rec'd from Province; Sarka to confirm delivery before March 31
Dec 13/23 - V3 sent to Province
Dec 8/23 - V2 rec'd from Province
Dec 7/23 - V1 sent to Province
Dec 7/23 - With Sian
Dec 7/23 - With Tyler
Dec 7/23 - With Alison for review
Dec 7/23 - Drafting SCO"
Microsoft Azure Arc,74,hint matched: arc,SCO-PROV-580 Amd Sch 23 S5.11 MPS Devices,88,V4.1,CSBC,2023-12-14,2023-12-28,15,11,Next day after: Dec 13/23 - V3 sent to Province,Dec 28/23 - V4.1 rec'd from Province; Sarka to confirm delivery before March 31,"Lori: please confirm this project/SCO mapping. This is an educated guess: ""Microsoft Azure Arc"" -> ""SCO-PROV-580 Amd Sch 23 S5.11 MPS Devices"" (hint matched: arc, score 74).","Jan 10/23 - Completed - COs sent to HP
Jan 9/24 - signing process
Jan 3/24 - V5 sent to Province
Dec 28/23 - V4.1 rec'd from Province; Sarka to confirm delivery before March 31
Dec 13/23 - V3 sent to Province
Dec 8/23 - V2 rec'd from Province
Dec 7/23 - V1 sent to Province
Dec 7/23 - With Sian
Dec 7/23 - With Tyler
Dec 7/23 - With Alison for review
Dec 7/23 - Drafting SCO"
Microsoft Azure Arc,74,hint matched: arc,SCO-PROV-580 Amd Sch 23 S5.11 MPS Devices,88,V5,ADSL,2023-12-29,2024-01-03,6,4,Next day after: Dec 28/23 - V4.1 rec'd from Province; Sarka to confirm delivery before March 31,Jan 3/24 - V5 sent to Province,"Lori: please confirm this project/SCO mapping. This is an educated guess: ""Microsoft Azure Arc"" -> ""SCO-PROV-580 Amd Sch 23 S5.11 MPS Devices"" (hint matched: arc, score 74).","Jan 10/23 - Completed - COs sent to HP
Jan 9/24 - signing process
Jan 3/24 - V5 sent to Province
Dec 28/23 - V4.1 rec'd from Province; Sarka to confirm delivery before March 31
Dec 13/23 - V3 sent to Province
Dec 8/23 - V2 rec'd from Province
Dec 7/23 - V1 sent to Province
Dec 7/23 - With Sian
Dec 7/23 - With Tyler
Dec 7/23 - With Alison for review
Dec 7/23 - Drafting SCO"
Microsoft Azure Arc,74,hint matched: arc,SCO-PROV-721 Amd SCO-557 Sch23 S5.7.1 BC SAG,102,V1,ADSL,2025-03-18,2025-07-07,112,80,Mar 18/25 - Cathy reviewed; hold submission until after March 31,July 7/25 - V1 sent to Province,"Lori: please confirm this project/SCO mapping. This is an educated guess: ""Microsoft Azure Arc"" -> ""SCO-PROV-721 Amd SCO-557 Sch23 S5.7.1 BC SAG"" (hint matched: arc, score 74).","Oct 2/25 - Adobe Sign
Sept 24/25 - Province confirmed VM will be ordered via SCO
Sept 16/25 - V5 sent to Province - Question with Province: Is Province ok to do iStore orders for virtual servers too? Is so, we can remove all App C charges from this SCO.
Sept 9/25 - V4.1 rec'd; with Cathy
Aug 18/25 - V3 sent to Province
Aug 5/25 - V2 rec'd; with Cathy
July 7/25 - V1 sent to Province
July 4/25 - Dan Deane confirmed servers; SCO updated, with Tyler
Mar 31/25 - With Alex Thompson to confirm servers
Mar 18/25 - Cathy reviewed; hold submission until after March 31"
Microsoft Azure Arc,74,hint matched: arc,SCO-PROV-721 Amd SCO-557 Sch23 S5.7.1 BC SAG,102,V2,CSBC,2025-07-08,2025-08-05,29,21,Next day after: July 7/25 - V1 sent to Province,Aug 5/25 - V2 rec'd; with Cathy,"Lori: please confirm this project/SCO mapping. This is an educated guess: ""Microsoft Azure Arc"" -> ""SCO-PROV-721 Amd SCO-557 Sch23 S5.7.1 BC SAG"" (hint matched: arc, score 74).","Oct 2/25 - Adobe Sign
Sept 24/25 - Province confirmed VM will be ordered via SCO
Sept 16/25 - V5 sent to Province - Question with Province: Is Province ok to do iStore orders for virtual servers too? Is so, we can remove all App C charges from this SCO.
Sept 9/25 - V4.1 rec'd; with Cathy
Aug 18/25 - V3 sent to Province
Aug 5/25 - V2 rec'd; with Cathy
July 7/25 - V1 sent to Province
July 4/25 - Dan Deane confirmed servers; SCO updated, with Tyler
Mar 31/25 - With Alex Thompson to confirm servers
Mar 18/25 - Cathy reviewed; hold submission until after March 31"
Microsoft Azure Arc,74,hint matched: arc,SCO-PROV-721 Amd SCO-557 Sch23 S5.7.1 BC SAG,102,V3,ADSL,2025-08-06,2025-08-18,13,9,Next day after: Aug 5/25 - V2 rec'd; with Cathy,Aug 18/25 - V3 sent to Province,"Lori: please confirm this project/SCO mapping. This is an educated guess: ""Microsoft Azure Arc"" -> ""SCO-PROV-721 Amd SCO-557 Sch23 S5.7.1 BC SAG"" (hint matched: arc, score 74).","Oct 2/25 - Adobe Sign
Sept 24/25 - Province confirmed VM will be ordered via SCO
Sept 16/25 - V5 sent to Province - Question with Province: Is Province ok to do iStore orders for virtual servers too? Is so, we can remove all App C charges from this SCO.
Sept 9/25 - V4.1 rec'd; with Cathy
Aug 18/25 - V3 sent to Province
Aug 5/25 - V2 rec'd; with Cathy
July 7/25 - V1 sent to Province
July 4/25 - Dan Deane confirmed servers; SCO updated, with Tyler
Mar 31/25 - With Alex Thompson to confirm servers
Mar 18/25 - Cathy reviewed; hold submission until after March 31"
Microsoft Azure Arc,74,hint matched: arc,SCO-PROV-721 Amd SCO-557 Sch23 S5.7.1 BC SAG,102,V4.1,CSBC,2025-08-19,2025-09-09,22,16,Next day after: Aug 18/25 - V3 sent to Province,Sept 9/25 - V4.1 rec'd; with Cathy,"Lori: please confirm this project/SCO mapping. This is an educated guess: ""Microsoft Azure Arc"" -> ""SCO-PROV-721 Amd SCO-557 Sch23 S5.7.1 BC SAG"" (hint matched: arc, score 74).","Oct 2/25 - Adobe Sign
Sept 24/25 - Province confirmed VM will be ordered via SCO
Sept 16/25 - V5 sent to Province - Question with Province: Is Province ok to do iStore orders for virtual servers too? Is so, we can remove all App C charges from this SCO.
Sept 9/25 - V4.1 rec'd; with Cathy
Aug 18/25 - V3 sent to Province
Aug 5/25 - V2 rec'd; with Cathy
July 7/25 - V1 sent to Province
July 4/25 - Dan Deane confirmed servers; SCO updated, with Tyler
Mar 31/25 - With Alex Thompson to confirm servers
Mar 18/25 - Cathy reviewed; hold submission until after March 31"
Microsoft Azure Arc,74,hint matched: arc,SCO-PROV-721 Amd SCO-557 Sch23 S5.7.1 BC SAG,102,V5,ADSL,2025-09-10,2025-09-16,7,5,Next day after: Sept 9/25 - V4.1 rec'd; with Cathy,"Sept 16/25 - V5 sent to Province - Question with Province: Is Province ok to do iStore orders for virtual servers too? Is so, we can remove all App C charges from this SCO.","Lori: please confirm this project/SCO mapping. This is an educated guess: ""Microsoft Azure Arc"" -> ""SCO-PROV-721 Amd SCO-557 Sch23 S5.7.1 BC SAG"" (hint matched: arc, score 74).","Oct 2/25 - Adobe Sign
Sept 24/25 - Province confirmed VM will be ordered via SCO
Sept 16/25 - V5 sent to Province - Question with Province: Is Province ok to do iStore orders for virtual servers too? Is so, we can remove all App C charges from this SCO.
Sept 9/25 - V4.1 rec'd; with Cathy
Aug 18/25 - V3 sent to Province
Aug 5/25 - V2 rec'd; with Cathy
July 7/25 - V1 sent to Province
July 4/25 - Dan Deane confirmed servers; SCO updated, with Tyler
Mar 31/25 - With Alex Thompson to confirm servers
Mar 18/25 - Cathy reviewed; hold submission until after March 31"
Microsoft Azure Arc,74,hint matched: arc,SCO-PROV-721 Amd SCO-557 Sch23 S5.7.1 BC SAG,102,V5,SIGNINGTIME,2025-10-02,2025-10-02,1,1,Oct 2/25 - Adobe Sign,Oct 2/25 - Adobe Sign,"Lori: please confirm this project/SCO mapping. This is an educated guess: ""Microsoft Azure Arc"" -> ""SCO-PROV-721 Amd SCO-557 Sch23 S5.7.1 BC SAG"" (hint matched: arc, score 74).","Oct 2/25 - Adobe Sign
Sept 24/25 - Province confirmed VM will be ordered via SCO
Sept 16/25 - V5 sent to Province - Question with Province: Is Province ok to do iStore orders for virtual servers too? Is so, we can remove all App C charges from this SCO.
Sept 9/25 - V4.1 rec'd; with Cathy
Aug 18/25 - V3 sent to Province
Aug 5/25 - V2 rec'd; with Cathy
July 7/25 - V1 sent to Province
July 4/25 - Dan Deane confirmed servers; SCO updated, with Tyler
Mar 31/25 - With Alex Thompson to confirm servers
Mar 18/25 - Cathy reviewed; hold submission until after March 31"
